X,Result
0.10000,-3.32197
0.20000,-2.32195
0.30000,-1.73697
0.40000,-1.32192
0.50000,-1.00000
0.60000,-0.73695
0.70000,-0.51458
0.80000,-0.32192
0.90000,-0.15201
1.00000,0.00000
1.10000,0.13751
1.20000,0.26304
1.30000,0.37850
1.40000,0.48543
1.50000,0.58497
1.60000,0.67807
1.70000,0.76551
1.80000,0.84801
1.90000,0.92601
2.00000,1.00000
2.10000,1.07038
2.20000,1.13752
2.30000,1.20164
2.40000,1.26304
2.50000,1.32192
2.60000,1.37853
2.70000,1.43297
2.80000,1.48544
2.90000,1.53606
3.00000,1.58498
3.10000,1.63229
3.20000,1.67809
3.30000,1.72248
3.40000,1.76556
3.50000,1.80738
3.60000,1.84802
3.70000,1.88754
3.80000,1.92603
3.90000,1.96350
4.00000,2.00002
4.10000,2.03564
4.20000,2.07040
4.30000,2.10436
4.40000,2.13753
4.50000,2.16995
4.60000,2.20165
4.70000,2.23269
4.80000,2.26306
4.90000,2.29281
5.00000,2.32195
5.10000,2.35053
5.20000,2.37854
5.30000,2.40602
5.40000,2.43299
5.50000,2.45947
5.60000,2.48546
5.70000,2.51099
5.80000,2.53608
5.90000,2.56074
6.00000,2.58500
6.10000,2.60884
6.20000,2.63230
6.30000,2.65538
6.40000,2.67811
6.50000,2.70048
6.60000,2.72250
6.70000,2.74419
6.80000,2.76557
6.90000,2.78663
7.00000,2.80739
7.10000,2.82785
7.20000,2.84803
7.30000,2.86794
7.40000,2.88756
7.50000,2.90693
7.60000,2.92603
7.70000,2.94490
7.80000,2.96351
7.90000,2.98189
8.00000,3.00004
8.10000,3.01796
8.20000,3.03567
8.30000,3.05315
8.40000,3.07043
8.50000,3.08750
8.60000,3.10438
8.70000,3.12106
8.80000,3.13754
8.90000,3.15384
9.00000,3.16997
9.10000,3.18591
9.20000,3.20168
9.30000,3.21727
9.40000,3.23271
9.50000,3.24797
9.60000,3.26308
9.70000,3.27803
9.80000,3.29282
9.90000,3.30748
10.00000,3.32197
